This list contains all games supported by FB Alpha.

5033 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| g_biosmu	| D NW	| [BIOS] Multi-Mega (Europe) (v2.21X)			| 		| 1994	| Sega		| Megadrive	| 					|
| g_biosse	| D NW	| [BIOS] Sega CD (USA) (v1.10)				| 		| 1994	| Sega		| Megadrive	| 					|
| g_bioss1	| D NW	| [BIOS] Sega CD 2 (USA) (v2.00) [b]			| g_biosse	| 1994	| Sega		| Megadrive	| 					|
| g_bioss2	| D NW	| [BIOS] Sega CD 2 (USA) (v2.00W)			| g_biosse	| 1994	| Sega		| Megadrive	| 					|
| g_bioss3	| D NW	| [BIOS] Sega CD 2 (USA) (v2.11X)			| g_biosse	| 1994	| Sega		| Megadrive	| 					|
| g_bioss4	| D NW	| [BIOS] Sega TMSS (World)				| g_biosse	| 1990	| Sega		| Megadrive	| 					|
| g_bioswo	| D NW	| [BIOS] WonderMega (Japan) (v1.00) (Sega)		| 		| 1993	| Sega		| Megadrive	| 					|
| g_biosxe	| D NW	| [BIOS] X'Eye (USA) (v2.00)				| 		| 1993	| Sega		| Megadrive	| 					|
| g_aressh	|  	| A Ressha de Ikou MD (Japan)				| 		| 1991	| Sega License	| Megadrive	| 					|
| abcop		|  	| A.B. Cop (FD1094 317-0169b)				| 		| 1990	| Sega		| X-Board	| 					|
| ad2083	|  	| A.D. 2083						| 		| 1983	| Midcoin	| Galaxian	| Incomplete Sound			|
| g_aahari	|  	| Aa Harimanada (Japan)					| 		| 1993	| Sega License	| Megadrive	| 					|
| g_aaahhr	|  	| AAAHH!!! Real Monsters (Europe)			| 		| 1995	| Sega License	| Megadrive	| 					|
| g_aaahh1	|  	| AAAHH!!! Real Monsters (USA)				| g_aaahhr	| 1995	| Sega License	| Megadrive	| 					|
| abscam	|  	| Abscam						| puckman	| 1981	| GL (US Billiar| Pac-man	| 					|
| aceattac	|   NW	| Ace Attacker (FD1094 317-0059)			| 		| 1988	| Sega		| System 16B	| 					|
| aceattaca	|  	| Ace Attacker (Japan, System 16A, FD1094 317-0060)	| aceattac	| 1986	| Sega		| System 16A	| 					|
| acrobatm	|  	| Acrobat Mission					| 		| 1991	| UPL (Taito lic| NMK16		| 					|
| g_action	|  	| Action 52 (USA) (Alt) (Unl)				| 		| 1993	| Active Enterpr| Megadrive	| 					|
| g_actio1	|  	| Action 52 (USA) (Unl)					| g_action	| 1993	| Active Enterpr| Megadrive	| 					|
| afighter	|  	| Action Fighter, FD1089A 317-0018			| 		| 1986	| Sega		| System 16A	| 					|
| g_actrp	| D NW	| Action Replay (Europe) (Program)			| 		| 	| Sega License	| Megadrive	| 					|
| g_afv		|  	| Addams Family Values (Europe) (En,Fr,De)		| g_addam	| 1994	| Sega License	| Megadrive	| 					|
| g_addam2	|  	| Addams Family, The (USA) (Beta)			| g_addam	| 1993	| Sega License	| Megadrive	| 					|
| g_addam1	| D NW	| Addams Family, The (USA) (Beta) (Alt)			| g_addam	| 	| Sega License	| Megadrive	| 					|
| g_addam	|  	| Addams Family, The (USA, Europe)			| 		| 1900	| Sega License	| Megadrive	| 					|
